siteID,datetime,doyfrac,schmidt_stability,thermocline_depth
4,5/20/2019 5:00,140.2083333,12.62841293,5.5
4,5/20/2019 5:30,140.2291667,13.30274569,5.5
4,5/20/2019 6:00,140.25,12.03025106,5.5
4,5/20/2019 6:30,140.2708333,11.37384015,5.5
4,5/20/2019 7:00,140.2916667,11.60296106,5.5
4,5/20/2019 7:30,140.3125,10.92545854,5.5
4,5/20/2019 8:00,140.3333333,10.84965639,5.5
4,5/20/2019 8:30,140.3541667,10.88829367,5.5
4,5/20/2019 9:00,140.375,11.27273429,5.5
4,5/20/2019 9:30,140.3958333,11.11238295,5.5
4,5/20/2019 10:00,140.4166667,11.90445013,5.5
4,5/20/2019 10:30,140.4375,12.53310851,5.5
4,5/20/2019 11:00,140.4583333,19.41412317,4.631210168
4,5/20/2019 11:30,140.4791667,21.92395393,4.543891613
4,5/20/2019 12:00,140.5,22.92221203,4.521539152
4,5/20/2019 12:30,140.5208333,23.45874741,4.521539152
4,5/20/2019 13:00,140.5416667,23.05158749,4.528010145
4,5/20/2019 13:30,140.5625,23.72074614,4.521574859
4,5/20/2019 14:00,140.5833333,24.14156283,4.485363617
4,5/20/2019 14:30,140.6041667,23.3071614,4.496167858
4,5/20/2019 15:00,140.625,23.3071614,4.496167858
4,5/20/2019 15:30,140.6458333,22.3830751,4.506870591
4,5/20/2019 16:00,140.6666667,22.10747947,4.505625049
4,5/20/2019 16:30,140.6875,18.39455404,5.5
4,5/20/2019 17:00,140.7083333,16.81045592,5.5
4,5/20/2019 17:30,140.7291667,17.14779766,5.5
4,5/20/2019 18:00,140.75,19.7457086,4.550249785
4,5/20/2019 18:30,140.7708333,18.59898604,4.617662953
4,5/20/2019 19:00,140.7916667,18.2087559,4.705355654
4,5/20/2019 19:30,140.8125,17.83108897,4.643659185
4,5/20/2019 20:00,140.8333333,19.14773394,4.56064597
4,5/20/2019 20:30,140.8541667,20.14538328,3.951077748
4,5/20/2019 21:00,140.875,20.16711081,4.251537933
4,5/20/2019 21:30,140.8958333,20.0421648,3.95473656
4,5/20/2019 22:00,140.9166667,18.17119565,4.161104079
4,5/20/2019 22:30,140.9375,16.81944898,3.899317998
4,5/20/2019 23:00,140.9583333,15.95156496,5.5
4,5/20/2019 23:30,140.9791667,15.89866923,5.5
4,5/21/2019 0:00,141,14.52415607,5.5
4,5/21/2019 0:30,141.0208333,13.96068396,4.743266498
4,5/21/2019 1:00,141.0416667,14.97072007,4.602142444
4,5/21/2019 1:30,141.0625,13.12976413,4.733243693
4,5/21/2019 2:00,141.0833333,13.01413056,4.825648007
4,5/21/2019 2:30,141.1041667,12.27072641,4.99929026
4,5/21/2019 3:00,141.125,12.30385245,4.999358904
4,5/21/2019 3:30,141.1458333,13.60958702,4.688889537
4,5/21/2019 4:00,141.1666667,12.92206368,4.670330153
4,5/21/2019 4:30,141.1875,12.03412577,4.948512692
4,5/21/2019 5:00,141.2083333,12.16064411,4.7813407
4,5/21/2019 5:30,141.2291667,12.09067486,4.824514111
4,5/21/2019 6:00,141.25,12.12024173,4.62715213
